1,1,Onshore,1795.00,Admin,,,
2,2,Onshore,2104.00,Admin,,,
3,3,Onshore,2630.00,Admin,,,
4,4,Onshore,3354.00,Admin,,,
5,5,Onshore,1795.00,Admin,,,
6,6,Onshore,2083.00,Admin,,,
7,7,Onshore,2630.00,Admin,,,
8,8,Onshore,3354.00,Admin,,,
9,9,Onshore,838.00,Admin,,,
10,10,Onshore,1140.00,Admin,,,
11,11,Onshore,1400.00,Admin,,,
12,12,Onshore,1346.00,Admin,,,
13,13,Onshore,1400.00,Admin,,,
14,14,Onshore,2083.00,Admin,,,
15,15,Onshore,2952.00,Admin,,,
16,1,Offshore,1795.00,Admin,,,
17,2,Offshore,2104.00,Admin,,,
18,3,Offshore,2630.00,Admin,,,
19,4,Offshore,3354.00,Admin,,,
20,5,Offshore,1795.00,Admin,,,
21,6,Offshore,2083.00,Admin,,,
22,7,Offshore,2630.00,Admin,,,
23,8,Offshore,3354.00,Admin,,,
24,9,Offshore,838.00,Admin,,,
25,10,Offshore,1140.00,Admin,,,
26,11,Offshore,1400.00,Admin,,,
27,12,Offshore,1346.00,Admin,,,
28,13,Offshore,1400.00,Admin,,,
29,14,Offshore,2083.00,Admin,,,
30,15,Offshore,2952.00,Admin,,,
